100	1	Escape
101	59	F1
102	60	F2
103	61	F3
104	62	F4
105	63	F5
106	64	F6
107	65	F7
108	66	F8
109	67	F9
110	68	F10
111	87	F11
112	88	F12
200	41	Oem_3
201	2	1
202	3	2
203	4	3
204	5	4
205	6	5
206	7	6
207	8	7
208	9	8
209	10	9
210	11	0
211	12	Oem_Minus
212	13	Oem_Plus
213	43	Oem_5
214	14	Back
300	15	Tab
301	16	Q
302	17	W
303	18	E
304	19	R
305	20	T
306	21	Y
307	22	U
308	23	I
309	24	O
310	25	P
311	26	Oem_4
312	27	Oem_6
313	28	Return
400	58	Capital
401	30	A
402	31	S
403	32	D
404	33	F
405	34	G
406	35	H
407	36	J
408	37	K
409	38	L
410	39	Oem_1
411	40	Oem_7
500	42	Lshift
501	44	Z
502	45	X
503	46	C
504	47	V
505	48	B
506	49	N
507	50	M
508	51	Oem_Comma
509	52	Oem_Period
510	53	Oem_2
511	54	Rshift
600	29	Lcontrol
601	91	Lwin
602	56	Lmenu
603	57	Space
604	56	Rmenu
605	92	Rwin
606	93	Apps
607	29	Rcontrol
700	55	Snapshot
701	70	Scroll
702	69	Pause
703	82	Insert
704	71	Home
705	73	Prior
706	83	Delete
707	79	End
708	81	Next
709	72	Up
710	75	Left
711	80	Down
712	77	Right
800	82	Numpad0
801	79	Numpad1
802	80	Numpad2
803	81	Numpad3
804	75	Numpad4
805	76	Numpad5
806	77	Numpad6
807	71	Numpad7
808	72	Numpad8
809	73	Numpad9
810	69	Numlock
811	53	Divide
812	55	Multiply
813	74	Subtract
814	78	Add
# 815	28	Return
# 816	83	Delete
